AI	dNBR	years	slope	I12_crit_mean
0.5	800	1.434	0.2	500
0.5	800	1.434	0.3	500
0.5	800	1.434	0.4	500
0.5	800	1.434	0.5	500
0.5	800	1.434	0.6	500
0.5	800	1.434	0.7	500
0.5	800	1.434	0.8	500
0.5	800	1.434	0.9	500
0.5	800	1.434	1	500
0.5	900	0.434	0.1	500
0.5	900	0.434	0.2	364.511448828
0.5	900	0.434	0.3	296.768354355
0.5	900	0.434	0.4	262.010365523
0.5	900	0.434	0.5	240.400605469
0.5	900	0.434	0.6	225.791518273
0.5	900	0.434	0.7	215.140068086
0.5	900	0.434	0.8	206.962152792
0.5	900	0.434	0.9	200.367406391
0.5	900	0.434	1	195.187239746
0.5	900	1.434	0.1	500
0.5	900	1.434	0.2	500
0.5	900	1.434	0.3	500
0.5	900	1.434	0.4	500
0.5	900	1.434	0.5	500
0.5	900	1.434	0.6	500
0.5	900	1.434	0.7	500
0.5	900	1.434	0.8	500
0.5	900	1.434	0.9	500
0.5	900	1.434	1	500
0.5	1000	0.434	0.1	500
0.5	1000	0.434	0.2	339.256716224
0.5	1000	0.434	0.3	271.128065586
0.5	1000	0.434	0.4	236.001148634
0.5	1000	0.434	0.5	214.462575426
0.5	1000	0.434	0.6	199.825020894
0.5	1000	0.434	0.7	189.147781446
0.5	1000	0.434	0.8	181.010524649
0.5	1000	0.434	0.9	174.519268907
0.5	1000	0.434	1	169.257813945
0.5	1000	1.434	0.1	500
0.5	1000	1.434	0.2	500
0.5	1000	1.434	0.3	500
0.5	1000	1.434	0.4	500
0.5	1000	1.434	0.5	500
0.5	1000	1.434	0.6	500
0.5	1000	1.434	0.7	500
0.5	1000	1.434	0.8	500
0.5	1000	1.434	0.9	500
0.5	1000	1.434	1	500
0.75	0	0.434	0.1	500
0.75	0	0.434	0.2	500
0.75	0	0.434	0.3	500
0.75	0	0.434	0.4	500
0.75	0	0.434	0.5	500
0.75	0	0.434	0.6	500
0.75	0	0.434	0.7	500
0.75	0	0.434	0.8	500
0.75	0	0.434	0.9	500
0.75	0	0.434	1	500
0.75	0	1.434	0.1	500
0.75	0	1.434	0.2	500
0.75	0	1.434	0.3	500
0.75	0	1.434	0.4	500
0.75	0	1.434	0.5	500
0.75	0	1.434	0.6	500
0.75	0	1.434	0.7	500
0.75	0	1.434	0.8	500
0.75	0	1.434	0.9	500
0.75	0	1.434	1	500
0.75	100	0.434	0.1	500
0.75	100	0.434	0.2	500
0.75	100	0.434	0.3	500
0.75	100	0.434	0.4	500
0.75	100	0.434	0.5	500
0.75	100	0.434	0.6	500
0.75	100	0.434	0.7	500
0.75	100	0.434	0.8	500
0.75	100	0.434	0.9	500
0.75	100	0.434	1	500
0.75	100	1.434	0.1	500
0.75	100	1.434	0.2	500
0.75	100	1.434	0.3	500
0.75	100	1.434	0.4	500
0.75	100	1.434	0.5	500
0.75	100	1.434	0.6	500
0.75	100	1.434	0.7	500
0.75	100	1.434	0.8	500
0.75	100	1.434	0.9	500
0.75	100	1.434	1	500
0.75	200	0.434	0.1	500
0.75	200	0.434	0.2	500
0.75	200	0.434	0.3	500
0.75	200	0.434	0.4	500
0.75	200	0.434	0.5	500
0.75	200	0.434	0.6	500
0.75	200	0.434	0.7	500
0.75	200	0.434	0.8	500
0.75	200	0.434	0.9	500
0.75	200	0.434	1	500
0.75	200	1.434	0.1	500
0.75	200	1.434	0.2	500
0.75	200	1.434	0.3	500
0.75	200	1.434	0.4	500
0.75	200	1.434	0.5	500
0.75	200	1.434	0.6	500
0.75	200	1.434	0.7	500
0.75	200	1.434	0.8	500
0.75	200	1.434	0.9	500
0.75	200	1.434	1	500
0.75	300	0.434	0.1	500
0.75	300	0.434	0.2	500
0.75	300	0.434	0.3	500
0.75	300	0.434	0.4	500
0.75	300	0.434	0.5	500
0.75	300	0.434	0.6	500
0.75	300	0.434	0.7	500
0.75	300	0.434	0.8	500
0.75	300	0.434	0.9	500
0.75	300	0.434	1	500
0.75	300	1.434	0.1	500
0.75	300	1.434	0.2	500
0.75	300	1.434	0.3	500
0.75	300	1.434	0.4	500
0.75	300	1.434	0.5	500
0.75	300	1.434	0.6	500
0.75	300	1.434	0.7	500
0.75	300	1.434	0.8	500
0.75	300	1.434	0.9	500
0.75	300	1.434	1	500
0.75	400	0.434	0.1	500
0.75	400	0.434	0.2	365.79946875
0.75	400	0.434	0.3	315.976948882
0.75	400	0.434	0.4	289.754660809
0.75	400	0.434	0.5	273.732136977
0.75	400	0.434	0.6	262.646327441
0.75	400	0.434	0.7	254.079666821
0.75	400	0.434	0.8	247.449024722
0.75	400	0.434	0.9	242.209792969
0.75	400	0.434	1	238.789631512
0.75	400	1.434	0.1	500
0.75	400	1.434	0.2	500
0.75	400	1.434	0.3	500
0.75	400	1.434	0.4	500
0.75	400	1.434	0.5	500
0.75	400	1.434	0.6	500
0.75	400	1.434	0.7	500
0.75	400	1.434	0.8	500
0.75	400	1.434	0.9	500
0.75	400	1.434	1	500
0.75	500	0.434	0.1	500
0.75	500	0.434	0.2	329.608142187
0.75	500	0.434	0.3	279.433222922
0.75	500	0.434	0.4	253.395364062
0.75	500	0.434	0.5	237.2168645
0.75	500	0.434	0.6	226.034591406
0.75	500	0.434	0.7	218.014852344
0.75	500	0.434	0.8	211.658478711
0.75	500	0.434	0.9	206.503150176
0.75	500	0.434	1	202.273050955
0.75	500	1.434	0.1	500
0.75	500	1.434	0.2	500
0.75	500	1.434	0.3	500
0.75	500	1.434	0.4	500
0.75	500	1.434	0.5	500
0.75	500	1.434	0.6	500
0.75	500	1.434	0.7	500
0.75	500	1.434	0.8	500
0.75	500	1.434	0.9	500
0.75	500	1.434	1	500
0.75	600	0.434	0.1	500
0.75	600	0.434	0.2	299.851738281
0.75	600	0.434	0.3	249.638324731
0.75	600	0.434	0.4	223.545681636
0.75	600	0.434	0.5	207.515857133
0.75	600	0.434	0.6	196.343655121
0.75	600	0.434	0.7	188.161020046
0.75	600	0.434	0.8	181.91086084
0.75	600	0.434	0.9	177.067484792
0.75	600	0.434	1	173.067141182
0.75	600	1.434	0.1	500
0.75	600	1.434	0.2	500
0.75	600	1.434	0.3	500
0.75	600	1.434	0.4	500
0.75	600	1.434	0.5	500
0.75	600	1.434	0.6	500
0.75	600	1.434	0.7	500
0.75	600	1.434	0.8	500
0.75	600	1.434	0.9	500
0.75	600	1.434	1	500
0.75	700	0.434	0.1	422.003285773
0.75	700	0.434	0.2	276.112121012
0.75	700	0.434	0.3	225.429936112
0.75	700	0.434	0.4	199.253252344
0.75	700	0.434	0.5	183.137753906
0.75	700	0.434	0.6	172.163296083
0.75	700	0.434	0.7	163.984718144
0.75	700	0.434	0.8	157.733750732
0.75	700	0.434	0.9	152.826928896
0.75	700	0.434	1	148.838906616
0.75	700	1.434	0.1	500
0.75	700	1.434	0.2	500
0.75	700	1.434	0.3	500
0.75	700	1.434	0.4	500
0.75	700	1.434	0.5	500
0.75	700	1.434	0.6	500
0.75	700	1.434	0.7	500
0.75	700	1.434	0.8	500
0.75	700	1.434	0.9	500
0.75	700	1.434	1	500
0.75	800	0.434	0.1	402.842479666
0.75	800	0.434	0.2	256.636230698
0.75	800	0.434	0.3	205.572726453
0.75	800	0.434	0.4	179.34040625
0.75	800	0.434	0.5	163.2185821
0.75	800	0.434	0.6	152.165709731
0.75	800	0.434	0.7	144.059035259
0.75	800	0.434	0.8	137.895113521
0.75	800	0.434	0.9	133.01952703
0.75	800	0.434	1	129.03859769
0.75	800	1.434	0.1	500
0.75	800	1.434	0.2	500
0.75	800	1.434	0.3	500
0.75	800	1.434	0.4	500
0.75	800	1.434	0.5	500
0.75	800	1.434	0.6	500
0.75	800	1.434	0.7	500
0.75	800	1.434	0.8	500
0.75	800	1.434	0.9	500
0.75	800	1.434	1	500
0.75	900	0.434	0.1	386.971654139
0.75	900	0.434	0.2	240.786562168
0.75	900	0.434	0.3	189.497717246
0.75	900	0.434	0.4	163.052176582
0.75	900	0.434	0.5	146.883442383
0.75	900	0.434	0.6	135.860162183
0.75	900	0.434	0.7	127.772900039
0.75	900	0.434	0.8	121.624705479
0.75	900	0.434	0.9	116.774180488
0.75	900	0.434	1	112.823213326
0.75	900	1.434	0.1	500
0.75	900	1.434	0.2	500
0.75	900	1.434	0.3	500
0.75	900	1.434	0.4	500
0.75	900	1.434	0.5	500
0.75	900	1.434	0.6	500
0.75	900	1.434	0.7	500
0.75	900	1.434	0.8	500
0.75	900	1.434	0.9	500
0.75	900	1.434	1	500
0.75	1000	0.434	0.1	373.876910942
0.75	1000	0.434	0.2	227.985973729
0.75	1000	0.434	0.3	176.552439805
0.75	1000	0.434	0.4	150.004323301
0.75	1000	0.434	0.5	133.737386953
0.75	1000	0.434	0.6	122.618597021
0.75	1000	0.434	0.7	114.567811582
0.75	1000	0.434	0.8	108.421378271
0.75	1000	0.434	0.9	103.535175781
0.75	1000	0.434	1	99.5963782709
0.75	1000	1.434	0.1	500
0.75	1000	1.434	0.2	500
0.75	1000	1.434	0.3	500
0.75	1000	1.434	0.4	500
0.75	1000	1.434	0.5	500
0.75	1000	1.434	0.6	500
0.75	1000	1.434	0.7	500
0.75	1000	1.434	0.8	500
0.75	1000	1.434	0.9	500
0.75	1000	1.434	1	500
1	0	0.434	0.1	469.838931914
1	0	0.434	0.2	358.316955078
1	0	0.434	0.3	319.242326729
1	0	0.434	0.4	298.897859561
1	0	0.434	0.5	285.469812686
1	0	0.434	0.6	276.315982954
1	0	0.434	0.7	270.250163179
1	0	0.434	0.8	264.781927385
1	0	0.434	0.9	260.510067476
1	0	0.434	1	256.953652832
1	0	1.434	0.1	500
1	0	1.434	0.2	500
1	0	1.434	0.3	500
1	0	1.434	0.4	500
1	0	1.434	0.5	500
1	0	1.434	0.6	500
1	0	1.434	0.7	500
1	0	1.434	0.8	500
1	0	1.434	0.9	500
1	0	1.434	1	500
1	100	0.434	0.1	500
1	100	0.434	0.2	316.402805977
1	100	0.434	0.3	277.290191406
1	100	0.434	0.4	257.107557778
1	100	0.434	0.5	244.24231293
1	100	0.434	0.6	235.249008891
1	100	0.434	0.7	228.562797305
1	100	0.434	0.8	224.233901324
1	100	0.434	0.9	219.986520562
1	100	0.434	1	216.583148545
1	100	1.434	0.1	500
1	100	1.434	0.2	500
1	100	1.434	0.3	500
1	100	1.434	0.4	500
1	100	1.434	0.5	500
1	100	1.434	0.6	500
1	100	1.434	0.7	500
1	100	1.434	0.8	500
1	100	1.434	0.9	500
1	100	1.434	1	500
1	200	0.434	0.1	394.526013804
1	200	0.434	0.2	282.295999005
1	200	0.434	0.3	243.165751061
1	200	0.434	0.4	222.884611765
1	200	0.434	0.5	210.160224609
1	200	0.434	0.6	201.457471611
1	200	0.434	0.7	195.005868398
1	200	0.434	0.8	190.245952763
1	200	0.434	0.9	186.850840972
1	200	0.434	1	183.404538283
1	200	1.434	0.1	500
1	200	1.434	0.2	500
1	200	1.434	0.3	500
1	200	1.434	0.4	500
1	200	1.434	0.5	500
1	200	1.434	0.6	500
1	200	1.434	0.7	500
1	200	1.434	0.8	500
1	200	1.434	0.9	500
1	200	1.434	1	500
1	300	0.434	0.1	367.466907981
1	300	0.434	0.2	254.412946535
1	300	0.434	0.3	215.20198415
1	300	0.434	0.4	194.977511269
1	300	0.434	0.5	182.226747305
1	300	0.434	0.6	173.51885608
1	300	0.434	0.7	167.26846975
1	300	0.434	0.8	162.458027141
1	300	0.434	0.9	159.64936978
1	300	0.434	1	156.241116738
1	300	1.434	0.1	500
1	300	1.434	0.2	500
1	300	1.434	0.3	500
1	300	1.434	0.4	500
1	300	1.434	0.5	500
1	300	1.434	0.6	500
1	300	1.434	0.7	500
1	300	1.434	0.8	500
1	300	1.434	0.9	500
1	300	1.434	1	500
1	400	0.434	0.1	345.121875313
1	400	0.434	0.2	231.782924141
1	400	0.434	0.3	192.435133404
1	400	0.434	0.4	172.151901797
1	400	0.434	0.5	159.507607188
1	400	0.434	0.6	150.872068976
1	400	0.434	0.7	144.546209844
1	400	0.434	0.8	139.700950898
1	400	0.434	0.9	136.116369682
1	400	0.434	1	133.881683203
1	400	1.434	0.1	500
1	400	1.434	0.2	500
1	400	1.434	0.3	500
1	400	1.434	0.4	500
1	400	1.434	0.5	500
1	400	1.434	0.6	500
1	400	1.434	0.7	500
1	400	1.434	0.8	500
1	400	1.434	0.9	500
1	400	1.434	1	500
1	500	0.434	0.1	327.25588023
1	500	0.434	0.2	213.442293203
1	500	0.434	0.3	173.856562358
1	500	0.434	0.4	153.451631895
1	500	0.434	0.5	140.891389707
1	500	0.434	0.6	132.279494411
1	500	0.434	0.7	125.976706669
1	500	0.434	0.8	121.146458184
1	500	0.434	0.9	117.343718291
1	500	0.434	1	115.417788074
1	500	1.434	0.1	500
1	500	1.434	0.2	500
1	500	1.434	0.3	500
1	500	1.434	0.4	500
1	500	1.434	0.5	500
1	500	1.434	0.6	500
1	500	1.434	0.7	500
1	500	1.434	0.8	500
1	500	1.434	0.9	500
1	500	1.434	1	500
1	600	0.434	0.1	312.83008782
1	600	0.434	0.2	198.636554648
1	600	0.434	0.3	158.814484336
1	600	0.434	0.4	138.368851523
1	600	0.434	0.5	125.706929414
1	600	0.434	0.6	117.104162109
1	600	0.434	0.7	110.843294912
1	600	0.434	0.8	106.098346857
1	600	0.434	0.9	102.295191387
1	600	0.434	1	99.2461063743
1	600	1.434	0.1	500
1	600	1.434	0.2	500
1	600	1.434	0.3	500
1	600	1.434	0.4	500
1	600	1.434	0.5	500
1	600	1.434	0.6	500
1	600	1.434	0.7	500
1	600	1.434	0.8	500
1	600	1.434	0.9	500
1	600	1.434	1	500
1	700	0.434	0.1	300.512964396
1	700	0.434	0.2	186.561420699
1	700	0.434	0.3	146.565130273
1	700	0.434	0.4	125.948229199
1	700	0.434	0.5	113.256871907
1	700	0.434	0.6	104.645625
1	700	0.434	0.7	98.4013444092
1	700	0.434	0.8	93.6420428872
1	700	0.434	0.9	89.8511972817
1	700	0.434	1	86.7847270508
1	700	1.434	0.1	500
1	700	1.434	0.2	500
1	700	1.434	0.3	500
1	700	1.434	0.4	500
1	700	1.434	0.5	500
1	700	1.434	0.6	500
1	700	1.434	0.7	500
1	700	1.434	0.8	500
1	700	1.434	0.9	500
1	700	1.434	1	500
1	800	0.434	0.1	290.661940382
1	800	0.434	0.2	176.811788634
1	800	0.434	0.3	136.696073896
1	800	0.434	0.4	115.934940742
1	800	0.434	0.5	103.202206953
1	800	0.434	0.6	94.5582095736
1	800	0.434	0.7	88.2926835937
1	800	0.434	0.8	83.5142949219
1	800	0.434	0.9	79.7653988688
1	800	0.434	1	76.7069012143
1	800	1.434	0.1	500
1	800	1.434	0.2	500
1	800	1.434	0.3	500
1	800	1.434	0.4	500
1	800	1.434	0.5	500
1	800	1.434	0.6	500
1	800	1.434	0.7	500
1	800	1.434	0.8	500
1	800	1.434	0.9	500
1	800	1.434	1	500
1	900	0.434	0.1	282.379525145
1	900	0.434	0.2	168.848885684
1	900	0.434	0.3	128.727246026
1	900	0.434	0.4	107.916878164
1	900	0.434	0.5	95.1149363379
1	900	0.434	0.6	86.407140625
1	900	0.434	0.7	80.1206949683
1	900	0.434	0.8	75.3103391016
1	900	0.434	0.9	71.5379462891
1	900	0.434	1	68.4617164258
1	900	1.434	0.1	500
1	900	1.434	0.2	500
1	900	1.434	0.3	500
1	900	1.434	0.4	405.58473564
1	900	1.434	0.5	367.256320544
1	900	1.434	0.6	341.732620239
1	900	1.434	0.7	323.432885935
1	900	1.434	0.8	309.712489015
1	900	1.434	0.9	298.92115387
1	900	1.434	1	290.222278408
1	1000	0.434	0.1	275.460711764
1	1000	0.434	0.2	162.223851007
1	1000	0.434	0.3	122.089524727
1	1000	0.434	0.4	101.351644746
1	1000	0.434	0.5	88.5056029395
1	1000	0.434	0.6	79.7901914063
1	1000	0.434	0.7	73.4317724783
1	1000	0.434	0.8	68.6180548266
1	1000	0.434	0.9	64.8224704687
1	1000	0.434	1	61.7491397021
1	1000	1.434	0.1	500
1	1000	1.434	0.2	500
1	1000	1.434	0.3	500
1	1000	1.434	0.4	371.039919434
1	1000	1.434	0.5	332.590173703
1	1000	1.434	0.6	306.96066975
1	1000	1.434	0.7	288.584508094
1	1000	1.434	0.8	274.875979092
1	1000	1.434	0.9	264.197869796
1	1000	1.434	1	255.578320847
1.25	0	0.434	0.1	308.985986367
1.25	0	0.434	0.2	219.966847734
1.25	0	0.434	0.3	188.922259805
1.25	0	0.434	0.4	172.612465571
1.25	0	0.434	0.5	162.429592295
1.25	0	0.434	0.6	155.555947764
1.25	0	0.434	0.7	151.500007969
1.25	0	0.434	0.8	147.419077148
1.25	0	0.434	0.9	144.041391621
1.25	0	0.434	1	141.358546875
1.25	0	1.434	0.1	500
1.25	0	1.434	0.2	500
1.25	0	1.434	0.3	500
1.25	0	1.434	0.4	500
1.25	0	1.434	0.5	500
1.25	0	1.434	0.6	500
1.25	0	1.434	0.7	500
1.25	0	1.434	0.8	500
1.25	0	1.434	0.9	500
1.25	0	1.434	1	500
